Unnamed: 0,recipe_number,recipe_code,likes_score,dislike_index,response_level,user_index,ranking_value,vote_ratio,score_log,region,device_type,recipe_name,comment_id,user_id,user_name,user_score,created_at,responses,likes,dislikes,ranking_score,text,stars
0,1,14299,0.10433489657354031,-0.08708174028325649,-0.00157988547006737,1.1720321111077867,539.6983283595869,0.0,0.6931471805599453,North,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_2G3aneMRgRMZwXqIHmSdXSG1hEM,u_9iFLIhMa8QaG,Jeri326,1,1665619889,0,0,0,527,"I tweaked it a little, removed onions because of onion haters in my house, used Italian seasoning instead of just oregano, and use a paprika/ cayenne mix and a little more than the recipe called for.. we like everything a bit more hot. The chili was amazing! It was easy to make and everyone absolutely loved it. It will now be a staple meal in our house.",5
1,1,14299,6.970957558839315,-0.09449553426775022,-0.0021692262281421707,50.629458430059344,720.5119951452456,0.875,3.9318256327243257,West,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_2FsPC83HtzCsQAtOxlbL6RcaPbY,u_Lu6p25tmE77j,Mark467,50,1665277687,0,7,0,724,"Bush used to have a white chili bean and it made this recipe super simple. I’ve written to them and asked them to please!, bring them back",5
2,1,14299,3.136047093131802,-0.047193681371816905,0.014539402414312688,10.74299756745533,717.194562817348,0.75,2.3978952727983707,North,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_2FPrSGyTv7PQkZq37j92r9mYGkP,u_s0LwgpZ8Jsqq,Barbara566,10,1664404557,0,3,0,710,"I have a very complicated white chicken chili recipe that I have made for years. Everyone raves over it. I saw this recipe and thought I’d try it as an easy alternative for weeknights. My husband likes this recipe better! Super easy and delicious! I did cut back slightly on the crushed oregano and cayenne pepper, otherwise I made it exactly as written.",5
3,1,14299,2.319912693414137,-0.10793210515384276,2.0121937594057466,0.8658122754311891,585.8753418752581,0.6666666666666666,0.6931471805599453,South,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_2DzdSIgV9qNiuBaLoZ7JQaartoC,u_fqrybAdYjgjG,jeansch123,1,1661787808,2,2,0,581,"In your introduction, you mentioned cream cheese but there is none listed in the ingredients!",0
4,1,14299,6.950816041809962,0.14264923776042301,1.0097695407345475,8.985971295710792,815.1487514261603,0.875,2.3978952727983707,North,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_2DtZJuRQYeTFwXBoZRfRhBPEXjI,u_XXWKwVhKZD69,camper77,10,1664913823,1,7,0,820,Wonderful! I made this for a &#34;Chili/Stew&#34; night dinner at our church and everyone wanted the recipe.  We make it quite often at home and it&#39;s always a hit. I also use a freshly made rotisserie chicken which adds to the flavor.,0
5,1,14299,2.950819490366356,1.0463627051541908,0.012383572395303175,0.8076611257063596,518.1140993724865,0.6,0.6931471805599453,West,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_2Do918IutExN0pWEOFMU4cbiT8v,u_BALTQJIvWtYr,nikhita,1,1661354351,0,3,1,518,amazing! my boyfriend loved it so much! going to make it again this week!,5
6,1,14299,11.33171393400954,-0.08523048112385363,0.009791342471987574,1.8730768437429304,842.622309091952,0.9166666666666666,0.6931471805599453,East,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_24hhcbywpsgGqG7yeDFH1IPZCb8,u_HuJVXMzQqJoI,Sandy1256,1,1644088805,0,11,0,833,"Wow!!!  This recipe is excellent as written!!  The only change I made was that I used a 40 oz. jar of great northern beans.  It tastes so good, with just the right amount of heat!!!",5
7,1,14299,28.161199801953902,2.1170308046293993,-0.0001543745035593869,0.6178107444205149,887.2129874208744,0.9032258064516129,0.6931471805599453,East,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_24cuIEu6UoJvd5VRMAoqnTPR9wd,u_uj79hCc4xVhm,Towanka,1,1643942114,0,28,2,891,"This is delicious and I make it often. One such time was when our daughter, her husband and their two sons  were visiting us from Virginia. I made a double batch and served it for dinner one evening and it really made a hit. Since there was a small amount left I put the leftover in the refrigerator. I walked into the kitchen the next morning to see our son in law with a big bowl of it headed for the microwave, which puzzled me. He gave me a big smile and told me it was the first thing he thought of when he woke up that morning and that was his breakfast. I give this soup 5 stars!",0
8,1,14299,5.901386821366972,-0.04774585879155511,-0.0008617138293947863,1.1458127392401112,694.2504662752705,0.8571428571428571,0.6931471805599453,South,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_24cc4VZR87RR5vdkYAnsnq6YaOS,u_xDTU4BqIVIc9,Quest,1,1643933124,0,6,0,693,"I absolutely love this recipe. I&#39;ve tweaked it quite a bit. When I want a spicier chili, I exchange the green chilis for canned diced jalapenos. It&#39;s SO GOOD that way. I also add an extra 4oz can of green chilis/diced jalapenos to it every time I make it. It does not double well, but have made 1.5 times the recipe and it&#39;s great for extra large crowds/plenty of leftovers. It&#39;s a great snow day recipe, I&#39;ve made it 3 times these past 2 weeks!",5
9,1,14299,0.11396483407872016,-0.05692224302502763,0.0016239555897478101,0.8462184327991561,393.379404488742,0.0,0.6931471805599453,South,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_24Fso1ApihQ91uCmNvhBDDO1k2P,u_cDoX9ujcQEoc,Susannah953,1,1643237839,0,0,0,404,I make this a lot … my kids and there friends come over and ask me to make this all the time ..,5
10,1,14299,2.9026590308393256,0.008446955830505917,-0.001453451942667099,0.9638199320588712,708.5364419748989,0.75,0.6931471805599453,East,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_24CHX0TVqhA9SivP1tam6CXh8j5,u_a1kMC63ejmcn,jillanglemyer810,1,1643127683,0,3,0,706,Best and easiest white chili recipe.,5
11,1,14299,1.9021733820641218,1.0804132447815185,-0.0071749605492495636,1.657031642816619,614.1465675905285,0.5,0.6931471805599453,South,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_244ayUAqmLa9HURYpjXxAQCSPt0,u_rLDRFmNx35zU,Leslie126,1,1642892566,0,2,1,617,"Best white chili recipe I&#39;ve had! I served it up with Fritos, sharp cheddar, sour cream, and chopped green onions. Delish!",5
12,1,14299,1.0508242183668364,0.06764098390211269,0.002046190527108387,1.127426619238434,636.6952001110633,0.5,0.6931471805599453,East,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_23myjWRG0SSgODziT76nAoXVMFf,u_lPW6uyGJNSN0,Cindy4876,1,1642353692,0,1,0,633,"This recipe was excellent!! I added the cream cheese and it was the perfect comfort food. I usually make individual portions and freeze it, but this was eaten everyday for 3 days. Exceptional!",5
13,1,14299,3.5981151428192644,1.9369740150326467,-0.010804198730604071,2.022465733353031,666.0439741120874,0.5714285714285714,0.6931471805599453,West,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_23hew17f9HfA1oRd8VozLDaxUsa,u_EXBl66u7yYkp,Xzercie,1,1645506015,0,4,2,672,"I made this alongside a traditional chili for a winter gathering and this chili stole the show. I was expecting leftovers for additional meals during the week, but nope, no leftovers. It’s mild, but there’s always ways to spice it up if that’s your preference.  If you’re thinking about it, just do it!  It’s easy, fast, warming, and delicious. Oh, and might as well double it. I did.",5
14,1,14299,4.637680701139529,1.1469790458842426,0.0009495483157169468,1.4888534343769384,587.2552369756095,0.7142857142857143,0.6931471805599453,South,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_23WqtSRlqxKmvHp4xbsD9zNMIPd,u_tOkZoHuF5wQW,TERESA062,1,1641956093,0,5,1,585,"Fantastic, but mild. I added half a Carolina Reaper. Delish! The hubby  said he detested white chili. As this was simmering, hubby said &#34;Boy, that sure smells great! When do we eat?&#34; He asked me to make more to freeze for later. LOL!",5
15,1,14299,0.881891404035307,-0.038586763873339744,-0.006862639201429946,1.0657157843568958,605.5294336925413,0.5,0.6931471805599453,North,Desktop,Creamy White Chili,sp_aUSaElGf_14299_c_23Vi81AY4vz93vga2QKFIXzVyQ9,u_pTdidnO4Qvj9,Mary-Lynne,1,1641825491,0,1,0,608,This is a fabulous recipe!,5
16,1,14299,-0.21274535775944636,-0.11364386913931204,-0.0005590628142251782,0.9528567975981354,430.3927579025354,0.0,0.6931471805599453,West,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_23Nduv3AAGtX0cmKaxLpQIOtGQz,u_zSpLgUzFZKjk,Petri,1,1641578704,0,0,0,449,"Delicious, If you like a mild chilli taste this is for you!😍 really would recommend making it!",4
17,1,14299,3.0660077083491064,-0.25471085658924286,0.0013190550927782768,1.1661262433881658,637.619775751302,0.75,0.6931471805599453,East,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_21bPbjHfpjkRMvMnaaaRcgeCqBD,u_DAo1aayKpI6d,Marilyn034,1,1638206887,0,3,0,637,"made according to directions, DELISH!!!!",5
18,1,14299,2.809269380726408,0.1705875613521407,-0.002434230065513167,0.38250585493009104,610.8953356922973,0.75,0.6931471805599453,South,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_21EzLhl4PhZN6cZMX6WBgleYgfb,u_YTq5zXIY38wL,Jeannette653,1,1637520980,0,3,0,602,My new favorite soup! Oh my! So delicious!,5
19,1,14299,10.703345355239126,1.0021497550279532,0.988682608536273,0.47039884041783675,812.2659778726977,0.8461538461538461,0.6931471805599453,West,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_21COxu6lQy4mVUfo0e4uTZ3CeiA,u_xwWa3ShkvfPQ,Scott967,1,1637441853,1,11,1,820,"This is a hit in my house. I have been making it for a few years now.  I typically  double the recipe as written, adding only a can or two of sweet corn.  We always eat this with jiffy cornbread. Absolutely a favorite.",5
20,1,14299,6.307859785736987,1.036587661436946,-0.00819578492817852,1.3790609673814456,668.4534228840364,0.75,0.6931471805599453,North,Tablet,Creamy White Chili,sp_aUSaElGf_14299_c_20HIfMEUR4vjBklhgkRbBe2PULd,u_jAZf8u0DcVIY,Jane601,1,1635695189,0,6,1,673,"Delicious!!!   A huge hit with family and friends.  Several requests to make again.  And share recipe!!! 
Thank you!!!!",5
21,1,14299,6.952575647749891,0.18145328899271992,0.0031612850421692293,1.4604542845774162,802.3486878330301,0.875,0.6931471805599453,North,Mobile,Creamy White Chili,sp_aUSaElGf_14299_c_1zVXg73HxKzPyRnHhWnLjRWSfUz,u_233rxDaYVN0g,Brenda349,1,1634234362,0,7,0,793,This is our go-to chicken chili recipe and has been for years. We love it and it&#39;s so simple.,5
